employer,employer_rating,sector,industry,employer_founded,employer_revenue,location,average_base_salary,rating_range,estimator_0,estimator_1,job_title_category_AI / ML Engineer,job_title_category_Data Analyst,job_title_category_Data Engineer,job_title_category_Data Scientist,job_title_category_Statistician
787,4.0,10,45,1944.0,7,312,138050.0,2,0,1,0,0,0,1,0
1051,3.7,13,12,1988.0,7,312,129200.0,2,0,1,0,0,0,1,0
285,3.7,10,45,1979.0,6,312,101000.0,2,0,1,0,0,0,1,0
53,3.3,5,6,1935.0,3,73,127549.0,2,1,0,0,0,0,1,0
723,4.5,24,77,1986.0,0,331,187795.2,3,0,1,0,0,0,1,0
527,3.2,10,45,1981.0,9,306,108046.0,2,1,0,0,0,0,1,0
331,4.0,24,77,1986.0,0,8,100000.0,2,0,1,0,0,0,1,0
531,4.7,24,77,1986.0,0,13,120000.0,3,0,1,0,0,0,1,0
1095,4.1,3,16,1965.0,5,236,71500.0,3,0,1,0,0,0,1,0
40,5.0,24,77,1986.0,0,312,110400.0,3,0,1,0,1,0,0,0
383,4.1,10,48,2013.0,0,108,133000.0,3,0,1,0,0,0,1,0
1131,3.9,24,77,1986.0,0,384,122500.0,2,0,1,0,0,0,1,0
698,4.6,10,18,1993.0,8,339,227750.0,3,0,1,0,0,0,1,0
399,3.8,10,45,2011.0,1,73,103020.0,2,1,0,0,0,0,1,0
995,4.1,15,1,1984.0,0,94,100000.0,3,0,1,0,1,0,0,0
560,3.7,24,77,1986.0,0,124,90765.0,2,1,0,0,0,0,1,0
905,4.1,4,29,1926.0,9,221,210000.0,3,0,1,0,0,0,1,0
230,2.8,14,21,2009.0,0,201,113750.0,1,0,1,0,0,0,1,0
557,4.7,10,45,2017.0,0,217,123065.0,3,1,0,1,0,0,0,0
1058,5.0,10,30,2017.0,2,33,195000.0,3,0,1,0,0,0,1,0
333,3.8,24,77,1986.0,0,312,145000.0,2,0,1,0,0,0,1,0
386,4.3,24,77,1986.0,0,30,111988.0,3,1,0,0,0,0,1,0
195,3.1,7,41,1963.0,9,252,129008.0,2,0,1,0,0,0,1,0
815,4.4,10,68,2019.0,0,334,106167.0,3,1,0,0,0,0,1,0
415,4.7,24,77,1986.0,0,315,121948.0,3,1,0,0,0,0,1,0
912,5.0,10,45,1986.0,0,312,195000.0,3,0,1,0,0,0,1,0
670,4.1,24,77,1986.0,0,285,72211.20000000001,3,0,1,0,0,0,1,0
1130,2.5,16,15,1986.0,3,312,86000.0,1,0,1,0,0,0,1,0
749,2.9,23,67,2003.0,7,68,96736.0,1,1,0,0,0,0,1,0
193,4.7,10,45,2018.0,0,41,150000.0,3,0,1,0,0,0,1,0
1168,3.6,23,67,2011.0,8,41,94761.0,2,1,0,0,0,0,1,0
984,3.8,6,56,2016.0,0,192,89179.0,2,1,0,0,0,0,1,0
929,4.7,10,18,2014.0,0,335,203250.0,3,0,1,1,0,0,0,0
694,3.9,10,30,1986.0,7,15,105213.0,2,1,0,0,0,0,1,0
625,4.8,5,0,1986.0,2,205,92958.0,3,1,0,0,0,0,1,0
549,4.7,10,68,2007.0,3,315,94075.0,3,1,0,0,0,0,1,0
494,4.6,24,77,1986.0,0,312,125000.0,3,0,1,0,0,0,1,0
918,3.8,13,12,2020.0,0,99,111962.0,2,1,0,0,0,0,1,0
538,3.3,24,77,1986.0,0,384,97500.0,2,0,1,0,0,0,1,0
671,4.8,24,77,1986.0,0,312,115200.0,3,0,1,0,0,0,1,0
269,3.2,7,41,1997.0,6,284,79700.0,2,0,1,0,1,0,0,0
46,3.5,10,48,2015.0,0,331,160885.0,2,1,0,0,0,0,1,0
169,4.2,13,12,1914.0,8,394,119550.0,3,0,1,0,0,0,1,0
756,4.2,13,64,1986.0,0,331,155061.0,3,1,0,0,0,0,1,0
703,3.3,24,77,1986.0,0,312,120000.0,2,0,1,0,0,0,1,0
326,3.4,10,45,2012.0,0,350,109295.0,2,1,0,0,0,0,1,0
1130,2.5,16,15,1986.0,3,312,86000.0,1,0,1,0,0,0,1,0
1034,4.1,4,54,2004.0,8,371,98339.0,3,1,0,0,0,0,1,0
1076,2.6,15,61,1933.0,5,394,121010.0,1,1,0,0,0,0,1,0
662,3.6,20,65,1955.0,9,73,125035.0,2,1,0,0,0,0,1,0
1022,4.1,24,77,1986.0,0,51,155000.0,3,0,1,0,0,0,1,0
1158,3.0,24,77,1986.0,0,53,120443.0,1,1,0,0,0,0,1,0
149,4.7,10,45,2008.0,0,10,106615.0,3,1,0,0,0,0,1,0
500,3.1,10,48,2010.0,0,217,169000.0,2,0,1,0,0,0,1,0
307,3.9,10,45,1983.0,4,252,124800.0,2,0,1,0,1,0,0,0
355,4.1,15,1,2006.0,4,252,75000.0,3,0,1,0,0,0,1,0
739,4.8,24,77,1986.0,0,339,134033.0,3,1,0,0,0,0,1,0
1115,2.8,9,39,2016.0,0,377,111635.0,1,1,0,0,0,0,1,0
236,3.6,21,25,1947.0,7,252,132500.0,2,0,1,0,0,0,1,0
303,3.8,23,67,1969.0,9,43,93257.0,2,1,0,0,1,0,0,0
696,4.7,24,77,1986.0,0,394,153600.0,3,0,1,0,0,0,1,0
449,2.9,24,77,1986.0,0,312,75000.0,1,0,1,0,0,0,1,0
781,4.4,13,12,1986.0,0,394,121306.0,3,1,0,0,0,0,1,0
397,4.0,5,72,2004.0,5,252,145000.0,2,0,1,0,1,0,0,0
1031,3.7,13,12,2002.0,3,16,81171.0,2,1,0,0,0,0,1,0
301,4.3,24,77,1986.0,0,394,140000.0,3,0,1,0,1,0,0,0
453,4.0,10,30,1986.0,2,90,97213.0,2,1,0,0,0,0,1,0
701,4.2,24,77,1986.0,0,394,105650.0,3,1,0,0,0,0,1,0
243,4.3,10,30,1984.0,9,314,117208.0,3,1,0,0,0,0,1,0
576,3.4,8,44,1986.0,5,384,90000.0,2,0,1,0,0,0,1,0
584,5.0,24,77,1986.0,0,159,98792.0,3,1,0,0,0,0,1,0
937,4.9,0,2,2000.0,3,107,105659.0,3,1,0,0,0,0,1,0
613,4.0,12,50,1995.0,0,312,101060.0,2,0,1,0,0,0,1,0
194,3.6,24,77,1986.0,0,124,104115.0,2,1,0,0,0,0,1,0
1014,4.0,10,45,2006.0,3,262,119040.0,2,0,1,0,0,0,1,0
124,4.1,10,45,2000.0,7,73,138500.0,3,0,1,0,0,0,1,0
547,3.9,10,68,2001.0,5,331,202809.6,2,0,1,0,0,0,1,0
302,4.1,24,77,1986.0,3,280,136325.0,3,0,1,0,0,0,1,0
309,4.9,10,45,2003.0,0,217,122062.0,3,1,0,0,0,0,1,0
1191,3.9,7,41,2010.0,0,368,120000.0,2,0,1,0,1,0,0,0
294,4.8,7,43,2017.0,0,384,200000.0,3,0,1,0,0,0,1,0
1200,4.4,9,39,1999.0,4,93,154258.0,3,1,0,0,0,0,1,0
706,4.2,4,29,1986.0,0,38,103767.0,3,1,0,0,0,0,1,0
521,3.9,13,64,1983.0,0,366,92692.0,2,1,0,0,0,0,1,0
1194,4.6,24,77,1986.0,0,170,105600.0,3,0,1,0,0,1,0,0
1029,5.0,24,77,1986.0,0,328,85000.0,3,0,1,0,0,0,1,0
153,3.3,24,77,1986.0,0,73,103389.0,2,1,0,0,0,0,1,0
756,4.2,13,64,1986.0,0,331,277500.0,3,0,1,0,0,0,1,0
717,4.0,5,0,1986.0,0,281,143040.0,2,0,1,0,0,0,1,0
418,4.4,1,75,2013.0,4,312,177500.0,3,0,1,0,0,0,1,0
500,3.1,10,48,2010.0,0,217,123962.0,2,0,1,0,1,0,0,0
803,3.4,10,48,2007.0,4,331,131425.0,2,1,0,0,0,0,1,0
202,4.1,5,49,1931.0,7,199,152066.0,3,0,1,0,0,0,1,0
518,4.4,15,61,2010.0,5,263,144179.0,3,0,1,0,0,0,1,0
950,5.0,24,77,1986.0,0,389,106005.0,3,1,0,0,0,0,1,0
289,4.3,13,64,2007.0,0,68,142950.0,3,1,0,0,0,0,1,0
684,3.5,15,1,1987.0,5,383,162500.0,2,0,1,0,0,0,1,0
1004,3.1,5,6,1986.0,0,187,124917.0,2,1,0,0,0,1,0,0
1,5.0,10,18,1994.0,2,10,86860.0,3,1,0,0,0,0,1,0
102,3.7,13,11,2015.0,0,301,120000.0,2,0,1,0,0,0,1,0
1017,3.1,15,1,2001.0,5,370,134500.0,2,0,1,0,0,0,1,0
1195,4.2,24,77,1986.0,1,312,158546.0,3,0,1,0,0,0,1,0
440,3.9,10,45,1986.0,4,315,89850.0,2,1,0,0,0,0,1,0
1002,3.5,7,41,1986.0,0,312,115000.0,2,0,1,0,1,0,0,0
229,3.2,7,41,1986.0,0,252,171000.0,2,0,1,0,0,0,1,0
985,4.6,10,45,2015.0,3,247,163200.0,3,0,1,0,0,0,1,0
241,3.6,10,68,1998.0,5,252,100000.0,2,0,1,0,0,0,1,0
259,3.7,24,77,1986.0,0,150,70000.0,2,0,1,0,0,0,1,0
234,3.1,7,41,2009.0,4,252,132903.0,2,0,1,0,0,0,1,0
916,3.7,21,23,1952.0,8,287,66320.0,2,1,0,0,1,0,0,0
1007,4.5,24,77,1986.0,0,312,96000.0,3,0,1,0,1,0,0,0
290,4.9,13,12,2015.0,0,312,105000.0,3,0,1,0,0,0,1,0
160,3.3,10,18,1986.0,0,312,127500.0,2,0,1,0,0,0,1,0
641,2.4,23,73,1980.0,3,103,114893.0,1,1,0,0,0,0,1,0
74,5.0,24,77,2017.0,3,286,89084.0,3,1,0,0,0,0,1,0
1189,3.9,17,7,2008.0,0,340,96250.0,2,0,1,0,0,0,1,0
1016,4.6,10,68,2020.0,0,284,100000.0,3,0,1,0,0,0,1,0
958,4.0,24,77,1986.0,0,190,112500.0,2,0,1,0,0,0,1,0
603,3.2,9,39,1986.0,0,413,115000.0,2,0,1,0,1,0,0,0
799,4.5,24,77,1986.0,0,312,115000.0,3,0,1,0,1,0,0,0
2,2.4,9,39,1986.0,2,336,131465.0,1,1,0,0,0,0,1,0
154,3.8,24,77,1986.0,0,41,114596.0,2,1,0,0,0,0,1,0
632,5.0,24,77,1986.0,0,383,160000.0,3,0,1,0,0,0,1,0
1098,3.3,7,41,1984.0,7,261,120058.0,2,1,0,0,0,0,1,0
448,3.7,10,30,2011.0,0,287,113658.0,2,1,0,0,0,0,1,0
204,3.6,3,16,2011.0,3,312,101825.0,2,0,1,0,0,0,1,0
854,4.1,11,47,1977.0,7,252,95550.0,3,0,1,0,0,0,1,0
597,5.0,24,77,1986.0,0,312,148800.0,3,0,1,0,0,0,1,0
1114,3.4,7,41,1893.0,6,209,105100.0,2,0,1,0,0,0,1,0
813,3.2,10,30,2013.0,4,344,106400.0,2,0,1,0,0,0,1,0
414,4.1,18,8,1830.0,9,103,148644.0,3,1,0,0,0,0,1,0
319,4.5,10,68,1998.0,3,273,90000.0,3,0,1,0,0,0,1,0
486,5.0,24,77,1986.0,0,384,107500.0,3,0,1,0,0,0,1,0
633,4.1,10,68,2016.0,0,55,210000.0,3,0,1,0,0,0,1,0
623,3.5,21,42,1921.0,9,68,109200.0,2,0,1,0,0,0,1,0
487,4.0,10,18,2013.0,0,312,130500.0,2,0,1,0,0,0,1,0
304,3.7,4,29,1903.0,9,100,107575.0,2,1,0,0,0,0,1,0
361,3.8,7,41,1986.0,0,245,104183.0,2,1,0,0,0,0,1,0
35,3.9,10,18,1986.0,4,393,93559.0,2,1,0,0,0,0,1,0
207,2.0,7,41,1986.0,0,87,108078.0,0,1,0,0,0,0,1,0
840,3.6,0,2,1956.0,5,394,117397.0,2,1,0,0,0,0,1,0
190,4.3,10,30,2017.0,0,339,155173.0,3,1,0,0,0,0,1,0
1139,3.7,5,49,1983.0,7,312,131500.0,2,0,1,0,0,0,1,0
196,3.4,15,1,1986.0,0,284,121844.0,2,1,0,0,0,0,1,0
120,3.8,13,12,2009.0,5,310,138615.0,2,1,0,0,0,0,1,0
614,4.1,18,8,1876.0,9,164,114959.0,3,1,0,0,0,0,1,0
1136,5.0,24,77,1986.0,0,66,98065.0,3,1,0,0,0,0,1,0
27,3.7,13,64,1965.0,6,321,80000.0,2,0,1,0,0,0,1,0
219,4.2,10,18,1986.0,2,403,105408.0,3,1,0,0,0,0,1,0
645,4.0,11,46,1871.0,9,384,135403.0,2,0,1,0,0,0,1,0
848,4.7,10,30,2014.0,2,394,85689.0,3,1,0,0,0,0,1,0
537,3.3,10,45,2014.0,0,312,97500.0,2,0,1,0,0,0,1,0
643,4.0,8,44,1927.0,9,33,143096.0,2,0,1,0,0,0,1,0
479,4.2,14,33,1864.0,9,283,129025.0,3,1,0,0,0,0,1,0
475,3.8,11,47,1885.0,5,144,97310.0,2,1,0,0,0,0,1,0
126,4.1,14,51,1995.0,5,34,105301.0,3,1,0,0,0,0,1,0
317,3.2,5,32,1915.0,7,252,85000.0,2,0,1,0,0,0,1,0
506,4.9,10,45,2013.0,3,360,103961.0,3,1,0,0,0,0,1,0
1196,3.5,24,77,1986.0,0,82,84480.0,2,0,1,0,0,0,1,0
29,4.7,10,45,2022.0,3,315,100654.0,3,1,0,0,0,0,1,0
1107,4.1,24,77,1986.0,0,277,87500.0,3,0,1,0,0,0,1,0
1042,5.0,24,77,1986.0,0,124,100304.0,3,1,0,0,0,0,1,0
1142,3.7,24,77,1986.0,3,344,91524.0,2,1,0,0,0,0,1,0
596,3.6,7,41,1978.0,9,103,139754.0,2,1,0,0,0,0,1,0
1124,3.8,22,74,2000.0,9,25,143896.0,2,1,0,0,0,0,1,0
1066,3.7,24,77,1986.0,0,284,140441.0,2,1,0,0,0,0,1,0
726,3.4,4,29,1987.0,7,82,113800.0,2,0,1,0,0,0,1,0
220,4.0,14,51,1925.0,9,242,122173.0,2,1,0,0,0,0,1,0
484,4.0,14,76,1948.0,0,213,66950.0,2,0,1,0,0,0,1,0
16,3.8,14,14,1975.0,2,375,110386.0,2,1,0,0,0,0,1,0
280,3.5,10,68,1986.0,0,56,117991.0,2,1,0,0,0,0,1,0
668,4.1,24,77,1986.0,2,394,120394.0,3,1,0,0,0,0,1,0
1031,3.7,13,12,2002.0,3,16,104134.0,2,1,0,0,0,0,1,0
556,3.8,10,18,2013.0,2,312,135000.0,2,0,1,0,0,0,1,0
780,4.3,9,70,1986.0,0,312,160000.0,3,0,1,0,0,0,1,0
1130,2.5,16,15,1986.0,3,312,86000.0,1,0,1,0,0,0,1,0
601,4.2,10,18,2004.0,0,23,108985.0,3,1,0,0,0,0,1,0
177,5.0,24,77,1986.0,0,312,128933.0,3,0,1,0,0,0,1,0
520,3.6,10,18,1986.0,0,124,108270.0,2,1,0,0,0,0,1,0
1197,3.1,10,45,1986.0,0,338,90413.0,2,1,0,0,0,0,1,0
75,3.7,23,3,1926.0,9,94,111969.0,2,1,0,0,0,0,1,0
835,4.0,5,49,1937.0,5,41,108677.0,2,1,0,0,0,0,1,0
357,4.4,13,12,1995.0,3,13,126313.0,3,1,0,0,0,0,1,0
115,2.9,24,77,1986.0,0,312,105000.0,1,0,1,0,0,0,1,0
926,5.0,13,12,2018.0,2,394,110000.0,3,0,1,0,1,0,0,0
259,3.7,24,77,1986.0,0,150,80000.0,2,0,1,0,0,0,1,0
76,3.7,2,4,1862.0,7,394,115000.0,2,0,1,0,0,0,1,0
13,3.8,24,77,1986.0,0,312,144000.0,2,0,1,0,0,0,1,0
180,4.1,10,45,1998.0,4,217,105326.0,3,1,0,0,0,0,1,0
960,4.3,3,16,1891.0,9,362,85500.0,3,0,1,0,0,0,1,0
600,4.4,9,39,2016.0,0,331,120000.0,3,0,1,0,1,0,0,0
1140,3.9,10,45,1986.0,2,360,97269.0,2,1,0,0,0,0,1,0
913,3.5,13,11,1929.0,7,337,107540.0,2,1,0,0,0,0,1,0
1009,4.0,24,77,1986.0,0,321,128000.0,2,0,1,0,0,0,1,0
32,4.3,10,18,1982.0,9,332,146700.0,3,0,1,0,0,0,1,0
30,3.6,15,1,2013.0,0,73,103000.0,2,0,1,0,1,0,0,0
320,3.0,10,45,2005.0,2,217,165000.0,1,0,1,0,0,0,1,0
281,4.2,6,56,2006.0,5,394,127503.0,3,1,0,0,0,0,1,0
396,4.2,10,30,2001.0,5,336,130064.0,3,1,0,0,0,0,1,0
242,4.0,10,30,2006.0,0,331,177000.0,2,0,1,0,0,0,1,0
884,4.6,10,30,1986.0,3,312,115200.0,3,0,1,0,0,0,1,0
41,3.4,24,77,1986.0,1,68,113505.0,2,0,1,0,0,0,1,0
506,4.9,10,45,2013.0,3,360,160000.0,3,0,1,0,0,0,1,0
1172,4.1,14,76,1955.0,9,210,92926.0,3,1,0,0,0,0,1,0
130,3.6,13,64,2002.0,5,321,106164.0,2,1,0,0,0,0,1,0
561,3.9,12,50,1958.0,5,157,96696.0,2,1,0,0,0,0,1,0
588,4.5,13,12,2007.0,4,160,81665.0,3,1,0,0,0,0,1,0
720,3.8,11,47,2016.0,0,274,157194.0,2,1,0,0,0,0,1,0
149,4.7,10,45,2008.0,0,10,118715.0,3,1,0,0,0,0,1,0
296,4.2,24,77,1986.0,0,94,101597.0,3,1,0,0,0,0,1,0
188,4.3,13,64,1986.0,3,107,112735.0,3,1,0,0,0,0,1,0
737,2.0,24,77,1986.0,0,256,120000.0,0,0,1,0,0,0,1,0
311,4.0,10,45,1999.0,2,312,127500.0,2,0,1,0,0,0,1,0
819,4.1,10,45,1986.0,0,312,211200.0,3,0,1,0,0,0,1,0
107,4.0,14,51,1860.0,7,312,121320.0,2,0,1,0,0,0,1,0
289,4.3,13,64,2007.0,0,267,189828.0,3,1,0,0,0,0,1,0
1039,3.9,3,16,1787.0,1,287,81020.0,2,1,0,0,0,0,1,0
1179,4.0,24,77,1986.0,0,282,79680.0,2,0,1,0,0,0,1,0
266,3.3,11,47,1922.0,6,170,132103.0,2,1,0,0,0,0,1,0
743,3.7,7,41,2012.0,0,73,110585.0,2,1,0,0,0,0,1,0
46,3.5,10,48,2015.0,0,331,135000.0,2,0,1,0,0,0,1,0
941,2.9,10,45,1986.0,0,194,96534.0,1,1,0,0,0,0,1,0
720,3.8,11,47,2016.0,0,274,151056.0,2,1,0,0,0,0,1,0
481,4.1,10,18,1939.0,0,358,102849.0,3,1,0,0,0,0,1,0
1025,3.8,13,12,1984.0,3,321,107008.0,2,1,0,0,0,0,1,0
758,3.7,10,68,2000.0,3,78,113783.0,2,1,0,0,0,0,1,0
992,4.0,10,45,2006.0,3,262,119884.8,2,0,1,0,0,0,1,0
555,4.7,10,30,2008.0,4,13,103589.0,3,1,0,0,0,0,1,0
754,5.0,10,45,1986.0,0,371,109535.0,3,1,0,0,0,0,1,0
951,4.4,9,70,2012.0,3,312,124800.0,3,0,1,0,0,0,1,0
95,3.7,14,21,2010.0,3,146,121000.0,2,0,1,0,0,0,1,0
709,3.9,10,48,2010.0,0,199,150000.0,2,0,1,0,0,0,1,0
49,3.7,24,77,1986.0,0,10,165000.0,2,0,1,0,0,0,1,0
769,3.7,10,30,1991.0,5,339,140000.0,2,0,1,0,0,0,1,0
511,4.2,24,77,1986.0,0,159,112500.0,3,0,1,0,0,0,1,0
496,4.0,10,48,2017.0,0,103,111705.0,2,1,0,0,0,0,1,0
370,4.1,15,80,1991.0,0,62,152469.0,3,1,0,0,0,0,1,0
1055,3.3,5,6,2019.0,8,68,103550.0,2,1,0,0,0,0,1,0
853,3.5,7,43,2022.0,0,68,107200.0,2,0,1,0,0,0,1,0
675,3.9,10,48,2004.0,9,252,140000.0,2,0,1,0,0,0,1,0
784,3.7,10,48,2009.0,0,252,122500.0,2,0,1,0,0,0,1,0
388,3.5,10,48,1996.0,7,252,190000.0,2,0,1,0,0,0,1,0
17,4.6,10,18,1969.0,3,312,120000.0,3,0,1,0,0,0,1,0
1174,4.1,10,48,2006.0,5,252,152375.0,3,0,1,0,0,0,1,0
825,4.6,10,45,2009.0,4,394,139568.0,3,1,0,0,0,0,1,0
26,5.0,10,45,1986.0,0,360,97529.0,3,1,0,0,0,0,1,0
548,4.1,10,30,1992.0,0,84,92424.0,3,1,0,0,0,0,1,0
1122,4.2,10,45,2010.0,0,167,91384.0,3,1,0,0,0,0,1,0
211,4.0,21,20,1889.0,0,97,112454.0,2,1,0,0,0,0,1,0
217,4.2,24,77,1986.0,0,13,109582.0,3,1,0,0,0,0,1,0
1154,3.6,10,18,1970.0,9,228,154642.0,2,1,0,0,0,0,1,0
1156,3.3,23,3,2013.0,5,384,170000.0,2,0,1,0,0,0,1,0
543,4.0,6,56,1986.0,0,217,131751.0,2,1,0,0,0,0,1,0
872,3.7,24,77,1986.0,0,312,129600.0,2,0,1,0,1,0,0,0
1033,5.0,24,77,1986.0,1,217,125279.0,3,1,0,0,0,0,1,0
185,3.1,21,25,1972.0,8,105,110000.0,2,0,1,0,0,0,1,0
988,3.7,22,74,2001.0,9,29,132000.0,2,0,1,0,0,0,1,0
851,4.0,10,45,1986.0,0,164,106755.0,2,1,0,0,0,0,1,0
720,3.8,11,47,2016.0,0,274,149823.0,2,1,0,0,0,0,1,0
619,4.1,11,46,1966.0,7,94,123627.0,3,1,0,0,0,0,1,0
578,3.8,14,33,1906.0,8,21,109639.0,2,1,0,0,0,0,1,0
38,3.6,10,48,2014.0,8,331,153564.0,2,1,0,0,0,0,1,0
541,4.9,10,45,2011.0,2,384,110400.0,3,0,1,0,0,0,1,0
921,4.2,12,50,1866.0,7,73,147171.0,3,1,0,0,0,0,1,0
292,4.2,10,30,2011.0,6,312,145000.0,3,0,1,0,0,0,1,0
385,4.4,21,81,2017.0,0,312,217000.0,3,0,1,0,0,0,1,0
315,4.0,13,12,1850.0,9,94,113366.0,2,1,0,0,0,0,1,0
836,3.9,10,18,1986.0,3,394,119132.0,2,1,0,0,0,0,1,0
300,4.6,13,12,2005.0,4,13,102778.0,3,1,0,0,0,0,1,0
939,3.9,10,18,2018.0,0,368,150221.0,2,1,0,0,0,0,1,0
871,3.0,24,77,1986.0,0,312,112500.0,1,0,1,0,0,0,1,0
195,3.1,7,41,1963.0,9,396,129008.0,2,0,1,0,0,0,1,0
1056,4.1,10,30,2014.0,0,199,77500.0,3,0,1,0,0,0,1,0
505,4.1,10,18,1968.0,9,285,154271.0,3,0,1,0,0,0,1,0
1053,4.7,24,77,1986.0,0,315,136610.0,3,1,0,0,0,0,1,0
906,4.3,4,29,1836.0,9,202,110474.0,3,1,0,0,0,0,1,0
256,3.6,4,29,1986.0,7,157,99291.0,2,1,0,0,0,0,1,0
796,3.6,10,45,2017.0,8,0,112000.0,2,0,1,0,0,0,1,0
157,3.3,10,68,2001.0,6,384,143350.0,2,0,1,0,0,0,1,0
91,4.0,7,41,1986.0,2,126,85517.0,2,1,0,0,0,0,1,0
1190,3.2,14,21,1977.0,7,276,108620.0,2,1,0,0,0,0,1,0
450,4.1,21,81,1927.0,9,180,98911.0,3,1,0,0,0,0,1,0
812,3.7,5,6,1991.0,5,333,82980.0,2,1,0,0,0,0,1,0
944,4.1,23,3,1967.0,9,94,183950.0,3,0,1,0,0,0,1,0
441,3.4,4,29,1933.0,9,391,147222.0,2,1,0,0,0,0,1,0
658,3.8,7,41,1986.0,9,320,106675.2,2,0,1,0,1,0,0,0
1037,4.1,11,47,1853.0,9,143,142550.0,3,0,1,0,0,0,1,0
1184,2.4,15,1,2000.0,0,252,105000.0,1,0,1,0,0,0,1,0
390,3.8,6,56,1908.0,0,75,93234.0,2,1,0,0,0,0,1,0
150,4.0,14,17,2012.0,4,397,100000.0,2,0,1,0,0,0,1,0
710,4.2,10,48,1997.0,8,200,164645.0,3,1,0,0,0,0,1,0
116,4.3,10,18,2017.0,0,29,95000.0,3,0,1,0,0,0,1,0
381,3.7,5,32,1968.0,8,41,109136.0,2,1,0,0,0,0,1,0
255,3.8,10,48,1986.0,0,312,218000.0,2,0,1,0,0,0,1,0
924,3.5,21,57,1910.0,8,85,125168.0,2,1,0,0,0,0,1,0
942,4.1,3,16,1911.0,0,94,103668.0,3,1,0,0,0,0,1,0
795,3.5,10,30,2010.0,3,121,106121.0,2,1,0,0,0,0,1,0
1083,3.9,23,3,1926.0,9,73,106982.0,2,1,0,0,0,0,1,0
1117,3.7,5,49,1975.0,0,208,127727.0,2,1,0,0,0,0,1,0
789,4.6,24,77,1986.0,0,273,103085.0,3,1,0,0,0,0,1,0
173,4.3,10,45,2007.0,0,360,121848.0,3,1,0,0,0,0,1,0
1133,4.3,10,30,2013.0,0,412,84210.0,3,1,0,0,0,0,1,0
364,3.9,5,6,2004.0,7,73,114200.0,2,1,0,0,0,0,1,0
875,3.8,7,41,1915.0,7,257,99480.0,2,1,0,0,0,0,1,0
773,3.8,15,1,1926.0,8,252,87500.0,2,0,1,0,0,0,1,0
