employer,employer_rating,sector,industry,employer_founded,employer_revenue,job_title,location,min_salary,max_salary,average_base_salary,per_hour_or_year
Sheetz,3.7,Retail & Wholesale,Convenience Stores,1952.0,$5 to $10 billion (USD),Data Analyst I - Pricing,"Pittsburgh, PA",53K,82K,"$66,320",/yr (Glassdoor est.)
WTAnow,3.7,,,,Unknown / Non-Applicable,Data Scientist,"Herndon, VA",106K,140K,"$121,754",/yr (Glassdoor est.)
Machinify,4.1,Information Technology,Software Development,2016.0,Unknown / Non-Applicable,Data Scientist | Healthcare Data,California,170K,250K,"$210,000",/yr (Employer est.)
WTAnow,5.0,,,,Unknown / Non-Applicable,Data Scientist,"Herndon, VA",106K,140K,"$121,754",/yr (Glassdoor est.)
Verizon,3.8,Telecommunications,Telecommunications Services,2000.0,$10+ billion (USD),Data Scientist Entry Level Opportunity,"Bedminster, NJ",117K,177K,"$143,896",/yr (Glassdoor est.)
CVS Health,3.1,Healthcare,Health Care Services & Hospitals,1963.0,$10+ billion (USD),Data Scientist - Cost & Operations Analytics,"Wellesley, MA",83K,175K,"$129,008",/yr (Employer est.)
TriNet,3.7,Management & Consulting,Business Consulting,1988.0,$1 to $5 billion (USD),Data Scientist,Remote,76K,182K,"$129,200",/yr (Employer est.)
Buchanan And Edwards Group,4.1,Information Technology,Information Technology Support Services,1998.0,$25 to $100 million (USD),Data Scientist - SME,"McLean, VA",88K,127K,"$105,326",/yr (Glassdoor est.)
Divi Technologies,3.3,,,,,Data Scientist,Remote,140K,150K,"$145,000",/yr (Employer est.)
Paperless Post,3.7,Information Technology,Internet & Web Services,2009.0,Unknown / Non-Applicable,Decisions Scientist,"New York, NY",110K,135K,"$122,500",/yr (Employer est.)
Airwallex,3.5,Information Technology,Internet & Web Services,2015.0,Unknown / Non-Applicable,Staff Data Scientist,"San Francisco, CA",140K,185K,"$160,885",/yr (Glassdoor est.)
DHL,3.8,Transportation & Logistics,Shipping & Trucking,1969.0,$10+ billion (USD),Sr Business Data Analyst,"Bow, NH",78K,111K,"$93,257",/yr (Glassdoor est.)
iHealth Labs Inc,3.9,Healthcare,Health Care Services & Hospitals,2010.0,Unknown / Non-Applicable,Senior Data Analyst,"Sunnyvale, CA",100K,140K,"$120,000",/yr (Employer est.)
Combined Insurance,3.3,Insurance,Insurance Carriers,1922.0,$500 million to $1 billion (USD),Data Scientist,"Jersey City, NJ",115K,151K,"$132,103",/yr (Glassdoor est.)
Booz Allen,4.2,Management & Consulting,Business Consulting,1914.0,$5 to $10 billion (USD),Data Scientist,"Norfolk, VA",73K,166K,"$119,500",/yr (Employer est.)
Virtue Analytics,4.3,Information Technology,Enterprise Software & Network Solutions,2013.0,Unknown / Non-Applicable,Data Analyst/Scientist,"Woodbury, MN",69K,103K,"$84,210",/yr (Glassdoor est.)
LeanPath,4.2,Information Technology,Computer Hardware Development,2004.0,Unknown / Non-Applicable,Machine Learning Data Scientist,"Beaverton, OR",88K,134K,"$108,985",/yr (Glassdoor est.)
Cisco Systems,4.3,Information Technology,Enterprise Software & Network Solutions,1984.0,$10+ billion (USD),"Senior Data Scientist, RMA Demand Planning","Research Triangle Park, NC",102K,135K,"$117,208",/yr (Glassdoor est.)
Home Depot / THD,3.8,Retail & Wholesale,Home Furniture & Housewares Stores,1978.0,$10+ billion (USD),Associate Data Scientist,"Atlanta, GA",77K,106K,"$90,484",/yr (Glassdoor est.)
Southern Methodist University,4.1,Education,Colleges & Universities,1911.0,Unknown / Non-Applicable,Data Scientist,"Dallas, TX",90K,120K,"$103,668",/yr (Glassdoor est.)
Bridgestone Americas,3.9,Manufacturing,Transportation Equipment Manufacturing,1931.0,$10+ billion (USD),Materials Scientist - Data Science,"Akron, OH",80K,112K,"$94,837",/yr (Glassdoor est.)
Lynker Corporation,4.0,Information Technology,Enterprise Software & Network Solutions,2007.0,$5 to $25 million (USD),Physical Scientist - Data Assimilation,"College Park, MD",95K,131K,"$111,711",/yr (Glassdoor est.)
Next Insurance,3.8,Insurance,Insurance Carriers,2016.0,Unknown / Non-Applicable,"Data Scientist, Analytics","Palo Alto, CA",136K,168K,"$151,056",/yr (Glassdoor est.)
adMarketplace,2.4,Media & Communication,Advertising & Public Relations,2000.0,Unknown / Non-Applicable,"Measurement & Analytics, Data Scientist","New York, NY",80K,130K,"$105,000",/yr (Employer est.)
Industrial Info Resources,3.9,Management & Consulting,Research & Development,1983.0,Unknown / Non-Applicable,Junior Data Scientist,"Sugar Land, TX",74K,116K,"$92,692",/yr (Glassdoor est.)
"Abile Group, Inc.",5.0,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,Jr. Data Scientist,"Springfield, VA",81K,118K,"$97,529",/yr (Glassdoor est.)
Cognowiz solutions LLC,4.7,,,,,Data Scientist,"Herndon, VA",70K,70K,"$70,000",/yr (Employer est.)
Integra Connect,3.3,Information Technology,Information Technology Support Services,2014.0,Unknown / Non-Applicable,Data Scientist,Remote,75K,120K,"$97,500",/yr (Employer est.)
Z Supply Inc.,2.9,Manufacturing,Consumer Product Manufacturing,2013.0,Unknown / Non-Applicable,ECOMMERCE DATA SCIENTIST,"Costa Mesa, CA",90K,150K,"$120,000",/yr (Employer est.)
Gray Tier Technologies,4.0,Information Technology,Enterprise Software & Network Solutions,,$1 to $5 million (USD),Data Scientist,"Crystal City, VA",81K,117K,"$97,213",/yr (Glassdoor est.)
2HB Incorporated,5.0,Information Technology,Computer Hardware Development,1994.0,$1 to $5 million (USD),Data Scientist,"Annapolis Junction, MD",71K,106K,"$86,860",/yr (Glassdoor est.)
Embold Health,4.5,Healthcare,Health Care Services & Hospitals,,Unknown / Non-Applicable,Data Scientist,"Nashville, TN",91K,120K,"$104,183",/yr (Glassdoor est.)
Huntington Bank,3.6,Financial Services,Banking & Lending,1866.0,$10+ billion (USD),Data Scientist,"Columbus, OH",81K,119K,"$98,365",/yr (Glassdoor est.)
Terakeet,3.1,Media & Communication,Advertising & Public Relations,2001.0,$100 to $500 million (USD),Sr. Data Scientist,"Syracuse, NY",107K,162K,"$134,500",/yr (Employer est.)
American Health Marketplace,3.5,Insurance,Insurance Agencies & Brokerages,,Unknown / Non-Applicable,Junior Data Scientist,"Fort Lauderdale, FL",18.00,20.00,$19.00,/hr (Employer est.)
FocusKPI Inc.,3.2,Media & Communication,Advertising & Public Relations,,Less than $1 million (USD),Data Scientist,"Boston, MA",6K,8K,"$7,000",/mo (Employer est.)
Intellitrans,4.1,Information Technology,Enterprise Software & Network Solutions,1992.0,Unknown / Non-Applicable,Data Scientist,"Conway, AR",75K,113K,"$92,424",/yr (Glassdoor est.)
Oracle,3.8,Information Technology,Enterprise Software & Network Solutions,1977.0,$10+ billion (USD),Data Scientist,"Seattle, WA",117K,158K,"$136,049",/yr (Glassdoor est.)
Nativo,3.9,Information Technology,Internet & Web Services,2010.0,Unknown / Non-Applicable,Data Scientist,"Los Angeles, CA",130K,170K,"$150,000",/yr (Employer est.)
Lowe's,3.5,Retail & Wholesale,Home Furniture & Housewares Stores,1921.0,$10+ billion (USD),Data Scientist - Store Inventory,"Charlotte, NC",75K,143K,"$109,200",/yr (Employer est.)
Aptive Environmental LLC,3.7,Management & Consulting,Building & Personnel Services,2015.0,Unknown / Non-Applicable,Data Scientist,"Provo, UT",120K,120K,"$120,000",/yr (Employer est.)
Blue Cross Blue Shield of Massachusetts,3.4,Insurance,Insurance Carriers,1937.0,$100 to $500 million (USD),Senior Data Scientist,"Boston, MA",140K,178K,"$159,100",/yr (Employer est.)
"Charlie Health Engineering, Product & Design",3.2,Healthcare,Health Care Services & Hospitals,,Unknown / Non-Applicable,Senior Data Scientist,"New York, NY",144K,198K,"$171,000",/yr (Employer est.)
Apartment List,4.6,Information Technology,Internet & Web Services,2011.0,Unknown / Non-Applicable,Staff Data Scientist,"Denver, CO",165K,230K,"$197,500",/yr (Employer est.)
Heineken,4.2,Manufacturing,Food & Beverage Manufacturing,1864.0,$10+ billion (USD),Data Scientist,"Petaluma, CA",104K,159K,"$129,025",/yr (Glassdoor est.)
SET Solutions,4.6,Information Technology,Enterprise Software & Network Solutions,,$5 to $25 million (USD),Data Scientist,Remote,50.00,70.00,$60.00,/hr (Employer est.)
omega solutions inc,3.1,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,Sr. Data Scientist,"Santa Ana, CA",73K,112K,"$90,413",/yr (Glassdoor est.)
World Bank Group,4.1,,,,$1 to $5 billion (USD),Statistician,"Washington, DC",78K,117K,"$95,843",/yr (Glassdoor est.)
Veracity Software,4.2,Information Technology,Information Technology Support Services,2010.0,Unknown / Non-Applicable,Jr Data Scientist,"Iselin, NJ",76K,109K,"$91,384",/yr (Glassdoor est.)
Jefferson Lab,4.1,Government & Public Administration,National Agencies,1984.0,$100 to $500 million (USD),Data Scientist Postdoc,"Newport News, VA",63K,94K,"$78,400",/yr (Employer est.)
"Stable Analytics, LLC",4.0,,,,,Data Scientist,"Lexington, KY",85K,140K,"$112,500",/yr (Employer est.)
Astrana Health,3.3,,,,,Junior Data Scientist,Remote,100K,110K,"$105,000",/yr (Employer est.)
The Mosaic Company,4.1,"Energy, Mining & Utilities",Mining & Metals,2004.0,$5 to $10 billion (USD),Data Scientist,"Tampa, FL",82K,118K,"$98,339",/yr (Glassdoor est.)
DigiFlight,3.3,Information Technology,Enterprise Software & Network Solutions,,$5 to $25 million (USD),Data Scientist,"Fort Meade, MD",90K,126K,"$106,463",/yr (Glassdoor est.)
Belay Technologies,4.7,Information Technology,Information Technology Support Services,2008.0,Unknown / Non-Applicable,Mid Data Scientist,"Annapolis Junction, MD",90K,127K,"$106,615",/yr (Glassdoor est.)
Globalstar Inc.,3.6,Telecommunications,"Cable, Internet & Telephone Providers",2003.0,$25 to $100 million (USD),Data Scientist,"Covington, LA",83K,112K,"$96,459",/yr (Glassdoor est.)
"US News & World Report ,L.P.",2.6,Media & Communication,Publishing,1933.0,$100 to $500 million (USD),Data Scientist,"Washington, DC",101K,145K,"$121,010",/yr (Glassdoor est.)
Housecall Pro,4.0,Information Technology,Computer Hardware Development,2013.0,Unknown / Non-Applicable,Senior Data Scientist I,Remote,116K,145K,"$130,500",/yr (Employer est.)
"RADcube, LLC",4.0,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,Data Scientist,"Indianapolis, IN",88K,130K,"$106,755",/yr (Glassdoor est.)
Pridevel Consulting,4.1,Information Technology,Information Technology Support Services,,Unknown / Non-Applicable,Data Scientist AI /ML GEN AI,Remote,100.00,120.00,$110.00,/hr (Employer est.)
Cyber Infotech,4.2,,,,Unknown / Non-Applicable,Data Scientist,"Dallas, TX",86K,120K,"$101,597",/yr (Glassdoor est.)
"Technuf, LLC",4.0,,,,Unknown / Non-Applicable,Data Scientist,"Rockville, MD",113K,143K,"$128,000",/yr (Employer est.)
Datasync Techonlogies Inc,4.9,Information Technology,Information Technology Support Services,2003.0,Unknown / Non-Applicable,Data Scientist,"McLean, VA",107K,140K,"$122,062",/yr (Glassdoor est.)
Actfore,3.0,Information Technology,Information Technology Support Services,2022.0,$5 to $25 million (USD),Junior Data Scientist,"Reston, VA",82K,123K,"$100,654",/yr (Glassdoor est.)
American Airlines,3.7,Transportation & Logistics,"Airlines, Airports & Air Transportation",1926.0,$10+ billion (USD),"Data Scientist/Senior Data Scientist, Customer Analytics","Dallas, TX",96K,131K,"$111,969",/yr (Glassdoor est.)
Solidus Technical Solutions,4.9,Aerospace & Defense,Aerospace & Defense,2000.0,$5 to $25 million (USD),Data Scientist,"Eglin AFB, FL",82K,136K,"$105,659",/yr (Glassdoor est.)
ServiceMaster,3.5,Management & Consulting,Building & Personnel Services,1929.0,$1 to $5 billion (USD),Data Scientist,"Sandy Springs, Fulton, GA",93K,124K,"$107,540",/yr (Glassdoor est.)
Newbold Advisors,4.0,Financial Services,Accounting & Tax,,Unknown / Non-Applicable,Data Scientist | InfoSec Framework,"Pensacola, FL",73.00,76.00,$74.50,/hr (Employer est.)
Child Mind Institute,3.1,Healthcare,Health Care Services & Hospitals,2009.0,$25 to $100 million (USD),Data Scientist,"New York, NY",118K,148K,"$132,903",/yr (Employer est.)
Attain,3.8,Management & Consulting,Business Consulting,2009.0,$100 to $500 million (USD),Data Scientist,"Redwood City, CA",116K,165K,"$138,615",/yr (Glassdoor est.)
Washington University in St Louis,4.1,Education,Colleges & Universities,1853.0,$1 to $5 billion (USD),Senior Statistical Data Analyst - Biostatistics,"Saint Louis, MO",65K,111K,"$87,600",/yr (Employer est.)
Jackson Lewis,3.9,Legal,Legal,1958.0,$100 to $500 million (USD),Data Scientist,"Houston, TX",80K,116K,"$96,696",/yr (Glassdoor est.)
Hewlett Packard,4.1,Information Technology,Computer Hardware Development,1939.0,Unknown / Non-Applicable,Data Scientist,"Spring, TX",84K,126K,"$102,849",/yr (Glassdoor est.)
Belay Technologies,4.7,Information Technology,Information Technology Support Services,2008.0,Unknown / Non-Applicable,Data Scientist,"Annapolis Junction, MD",102K,138K,"$118,715",/yr (Glassdoor est.)
"Aperia Technologies, Inc",3.7,Manufacturing,Consumer Product Manufacturing,2010.0,$5 to $25 million (USD),"Data Scientist, Remote","Hayward, CA",110K,132K,"$121,000",/yr (Employer est.)
Integra Connect Careers,4.1,,,,,Data Scientist,United States,75K,120K,"$97,500",/yr (Employer est.)
Dezign Concepts LLC,3.7,Information Technology,Information Technology Support Services,2005.0,$1 to $5 million (USD),Data Scientist,"McLean, VA",165K,165K,"$165,000",/yr (Employer est.)
ID.me,3.1,Information Technology,Internet & Web Services,2010.0,Unknown / Non-Applicable,"Data Scientist V, Marketplaces Personalization","McLean, VA",140K,198K,"$169,000",/yr (Employer est.)
Vibrant Emotional Health,2.5,Nonprofit & NGO,Civic & Social Services,,$5 to $25 million (USD),Research Data Scientist II,Remote,80K,92K,"$86,000",/yr (Employer est.)
Interclypse Inc,4.7,Information Technology,Software Development,2007.0,$5 to $25 million (USD),Data Scientist,"Huntsville, AL",83K,119K,"$99,086",/yr (Glassdoor est.)
INTEL,4.1,Information Technology,Computer Hardware Development,1968.0,$10+ billion (USD),Information Security Data Scientist,"Phoenix, AZ",123K,185K,"$154,271",/yr (Employer est.)
Provident Credit Union,4.3,Financial Services,Investment & Asset Management,1950.0,$25 to $100 million (USD),Data Scientist,"Redwood Shores, CA",99K,128K,"$113,500",/yr (Employer est.)
Radian,4.1,Insurance,Insurance Carriers,1977.0,$1 to $5 billion (USD),Data Scientist I - Hybrid,"New York, NY",79K,112K,"$95,550",/yr (Employer est.)
Optimal Solutions Group,3.7,Information Technology,Software Development,2000.0,$5 to $25 million (USD),Data Scientist Jr.,"College Park, MD",89K,145K,"$113,783",/yr (Glassdoor est.)
URBN,3.7,,,,Unknown / Non-Applicable,URBN Senior Data Scientist,"Philadelphia, PA",119K,166K,"$140,441",/yr (Glassdoor est.)
"Octapharma Plasma, Inc.",3.1,,,,Unknown / Non-Applicable,Data Scientist,"Charlotte, NC",89K,119K,"$102,474",/yr (Glassdoor est.)
Global InfoTek Inc,3.9,Information Technology,Information Technology Support Services,,$25 to $100 million (USD),Data Scientist - SME 0010IS - 1511,"Reston, VA",75K,108K,"$89,850",/yr (Glassdoor est.)
Airwallex,3.5,Information Technology,Internet & Web Services,2015.0,Unknown / Non-Applicable,Talent Acquisition Partner - Engineering & Data Science,"San Francisco, CA",120K,150K,"$135,000",/yr (Employer est.)
Merck Sharp & Dohme,4.1,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1891.0,$10+ billion (USD),Postdoctoral Research Fellow- Data Scientist,"Rahway, NJ",75K,86K,"$80,500",/yr (Employer est.)
Brunswick Corporation,3.9,Manufacturing,Consumer Product Manufacturing,1845.0,$1 to $5 billion (USD),Marketing Data Scientist,"Mettawa, IL",77K,106K,"$90,567",/yr (Glassdoor est.)
Lilly,4.1,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1876.0,$10+ billion (USD),Data Scientist,"Indianapolis, IN",103K,128K,"$114,959",/yr (Glassdoor est.)
Leadstack Inc,4.4,Human Resources & Staffing,HR Consulting,2016.0,Unknown / Non-Applicable,Data Analyst/Data Scientist,"San Francisco, CA",60.00,65.00,$62.50,/hr (Employer est.)
Veterans United Home Loans,4.3,Financial Services,Banking & Lending,2002.0,Unknown / Non-Applicable,Data Scientist,"Columbia, MO",78K,114K,"$94,497",/yr (Glassdoor est.)
Center for Family Health and Education,2.9,,,,Unknown / Non-Applicable,Data Scientist,"Panorama City, CA",83K,128K,"$103,023",/yr (Glassdoor est.)
The JAAW Group,5.0,,,,Unknown / Non-Applicable,Data Scientist,"Salt Lake City, UT",70K,100K,"$85,000",/yr (Employer est.)
Tencent,4.0,Information Technology,Internet & Web Services,1998.0,Unknown / Non-Applicable,Data Scientist Associate,"Palo Alto, CA",72K,144K,"$108,230",/yr (Employer est.)
"People, Technology & Processes",3.5,Information Technology,Enterprise Software & Network Solutions,2010.0,$5 to $25 million (USD),Data Scientist,"Fort Eustis, VA",90K,126K,"$106,121",/yr (Glassdoor est.)
RVO Health,3.5,Healthcare,Hospitals & Health Clinics,2022.0,Unknown / Non-Applicable,"Data Scientist, Medicare","Charlotte, NC",94K,120K,"$107,200",/yr (Employer est.)
Spektrum,5.0,,,,Unknown / Non-Applicable,Data Scientist,"Virginia Beach, VA",87K,129K,"$106,005",/yr (Glassdoor est.)
Cox Automotive,4.0,Information Technology,Information Technology Support Services,2014.0,Unknown / Non-Applicable,Data Scientist I,"Irvine, CA",64K,96K,"$80,300",/yr (Employer est.)
Synkriom Technology Pvt. Ltd.,4.6,Information Technology,Information Technology Support Services,2015.0,$5 to $25 million (USD),Data Scientist (Data Integrator Exp Need Local),"New Brunswick, NJ",80.00,90.00,$85.00,/hr (Employer est.)
OpenAI,4.2,Management & Consulting,Research & Development,,Unknown / Non-Applicable,"Strategic Finance, Data Scientist","San Francisco, CA",245K,310K,"$277,500",/yr (Employer est.)
Meta,3.9,Information Technology,Internet & Web Services,2004.0,$10+ billion (USD),"Data Scientist, GBG Data Science","New York, NY",109K,171K,"$140,000",/yr (Employer est.)
"Viasat, Inc.",3.8,Telecommunications,Telecommunications Services,1986.0,$1 to $5 billion (USD),"Machine Learning Engineer, Early Career","Carlsbad, CA",94K,158K,"$125,500",/yr (Employer est.)
PDF Solutions,3.7,Information Technology,Enterprise Software & Network Solutions,1991.0,$100 to $500 million (USD),Data Scientist,"Santa Clara, CA",120K,160K,"$140,000",/yr (Employer est.)
