employer,employer_rating,sector,industry,employer_founded,employer_revenue,job_title,location,min_salary,max_salary,average_base_salary,per_hour_or_year
VivusTech,4.9,,,,Unknown / Non-Applicable,Data Scientist,"Chantilly, VA",82K,117K,"$98,065",/yr (Glassdoor est.)
NIMIR Corporation,3.7,,,,,Sr. Data Scientist,"Washington, DC",80.00,80.00,$80.00,/hr (Employer est.)
Infosys,3.2,Information Technology,Information Technology Support Services,1981.0,$10+ billion (USD),Lead Data Scientist,"Raleigh, NC",93K,126K,"$108,046",/yr (Glassdoor est.)
IntelliBridge LLC,4.0,Government & Public Administration,National Agencies,,Unknown / Non-Applicable,Lead Data Scientist,"McLean, VA",113K,154K,"$131,751",/yr (Glassdoor est.)
360 IT Professionals,2.4,Human Resources & Staffing,HR Consulting,,$1 to $5 million (USD),Data Scientist,"San Ramon, CA",109K,159K,"$131,465",/yr (Glassdoor est.)
Fulcrum Analytics,3.0,,,,,Data Scientist,Remote,100K,130K,"$115,000",/yr (Employer est.)
ISE Data Systems,5.0,,,,Unknown / Non-Applicable,Data Scientist,"Reston, VA",102K,139K,"$119,053",/yr (Glassdoor est.)
JY Systems LLC,5.0,,,,Unknown / Non-Applicable,Data Scientist Level 2,"Fort Meade, MD",77K,107K,"$90,765",/yr (Glassdoor est.)
Cognowiz solutions LLC,3.7,,,,,Data Scientist,"Herndon, VA",70K,90K,"$80,000",/yr (Employer est.)
Finrise,3.8,Information Technology,Internet & Web Services,2015.0,Unknown / Non-Applicable,Data Scientist,"Burlingame, CA",124K,169K,"$145,008",/yr (Glassdoor est.)
Afterpay,3.6,Information Technology,Internet & Web Services,2014.0,$5 to $10 billion (USD),Senior Data Scientist - Health,"San Francisco, CA",130K,182K,"$153,564",/yr (Glassdoor est.)
CorVel Corporation,3.0,Insurance,Insurance Carriers,1987.0,$500 million to $1 billion (USD),Data Science Engineer (Data Scientist II),"Portland, OR",79K,122K,"$100,265",/yr (Employer est.)
Lukos,4.8,Financial Services,Accounting & Tax,,$1 to $5 million (USD),Data Scientist,"Macdill AFB, FL",75K,116K,"$92,958",/yr (Glassdoor est.)
Ardent Eagle Solutions,4.3,Government & Public Administration,National Agencies,2012.0,$25 to $100 million (USD),Data Scientist/ Statistician I,"Suitland, MD",78K,110K,"$92,347",/yr (Glassdoor est.)
Vibrant Emotional Health,2.5,Nonprofit & NGO,Civic & Social Services,,$5 to $25 million (USD),Sr Data Scientist,Remote,80K,92K,"$86,000",/yr (Employer est.)
Tellus Solutions,4.0,Information Technology,Information Technology Support Services,2006.0,$5 to $25 million (USD),Data Scientist,"North Chicago, IL",62.00,62.00,$62.00,/hr (Employer est.)
"McAfee, LLC",3.8,Information Technology,Computer Hardware Development,1987.0,$10+ billion (USD),"Data Scientist, Marketing Analytics",Remote,107K,176K,"$141,960",/yr (Employer est.)
NumberOne AI,2.0,,,,,Sr. Data Scientist,"Newport Beach, CA",120K,120K,"$120,000",/yr (Employer est.)
Gradient Metrics,3.3,,,,Unknown / Non-Applicable,(Survey) Marketing Data Scientist,Remote,50K,100K,"$75,000",/yr (Employer est.)
EVERSANA,3.4,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,2018.0,Unknown / Non-Applicable,Data Scientist,"Milwaukee, WI",115K,130K,"$122,500",/yr (Employer est.)
BlackLine,3.3,Information Technology,Software Development,2001.0,$500 million to $1 billion (USD),Data Scientist,United States,113K,174K,"$143,350",/yr (Employer est.)
University of Maryland Medical System,3.3,Healthcare,Health Care Services & Hospitals,1984.0,$1 to $5 billion (USD),Healthcare Data Scientist,"North Bethesda, MD",107K,154K,"$128,550",/yr (Glassdoor est.)
Independent Software,3.6,Information Technology,Computer Hardware Development,,Unknown / Non-Applicable,"Data Scientist, All Levels","Fort Meade, MD",88K,133K,"$108,270",/yr (Glassdoor est.)
RealmOne,4.0,,,,,Data Scientist 2,"Wahiawa, HI",98K,135K,"$116,500",/yr (Employer est.)
The JAAW Group,3.5,,,,Unknown / Non-Applicable,Data Scientist,"Salt Lake City, UT",70K,100K,"$85,000",/yr (Employer est.)
Huski,3.0,,,,,Data Scientist,Remote,100K,150K,"$125,000",/yr (Employer est.)
Cisco Meraki,4.0,Information Technology,Enterprise Software & Network Solutions,2006.0,Unknown / Non-Applicable,Senior Data Scientist,"San Francisco, CA",123K,231K,"$177,000",/yr (Employer est.)
DATSURA,4.3,,,,,Data Analyst / Data Scientist,"Washington, DC",130K,150K,"$140,000",/yr (Employer est.)
Innovative Analytic Solutions,4.3,,,,,Sr. Data Analyst,"Washington, DC",85K,103K,"$94,060",/yr (Employer est.)
DTE Energy,3.7,"Energy, Mining & Utilities",Energy & Utilities,1903.0,$10+ billion (USD),Data Scientist - PMO,"Detroit, MI",93K,124K,"$107,575",/yr (Glassdoor est.)
,4.1,,,,,Data Scientist,"Pasadena, CA",75K,100K,"$87,500",/yr (Employer est.)
"Systems Planning and Analysis, Inc.",4.5,Aerospace & Defense,Aerospace & Defense,1972.0,$100 to $500 million (USD),Data Scientist,"Norfolk, VA",94K,133K,"$111,939",/yr (Glassdoor est.)
XPO,3.6,Transportation & Logistics,Shipping & Trucking,2011.0,$5 to $10 billion (USD),"Scientist, Data Science - Hybrid","Boston, MA",72K,124K,"$94,761",/yr (Glassdoor est.)
"Intelliswift Software, Inc.",3.9,Information Technology,Software Development,2001.0,$100 to $500 million (USD),"Data Scientist, Product Insights","San Francisco, CA",105.63,105.63,$105.63,/hr (Employer est.)
InfoMagnus,4.3,Information Technology,Enterprise Software & Network Solutions,2013.0,Unknown / Non-Applicable,Data Scientist - mid level,Remote,130K,160K,"$145,000",/yr (Employer est.)
GSK,4.1,Pharmaceutical & Biotechnology,Biotech & Pharmaceuticals,1830.0,$10+ billion (USD),Senior Data Scientist,"Durham, NC",133K,166K,"$148,644",/yr (Glassdoor est.)
BlueConduit,3.3,Information Technology,Computer Hardware Development,,Unknown / Non-Applicable,Data Scientist,Remote,120K,135K,"$127,500",/yr (Employer est.)
ID.me,3.1,Information Technology,Internet & Web Services,2010.0,Unknown / Non-Applicable,Senior Data Analyst,"McLean, VA",107K,141K,"$123,962",/yr (Employer est.)
CTC Group,3.7,,,,Unknown / Non-Applicable,Data Scientist,"Fort Meade, MD",88K,123K,"$104,115",/yr (Glassdoor est.)
Community Behavioral Health.,3.2,Healthcare,Health Care Services & Hospitals,1997.0,$500 million to $1 billion (USD),Sr. Data Analyst,"Philadelphia, PA",76K,84K,"$79,700",/yr (Employer est.)
Kellanova,3.8,Manufacturing,Food & Beverage Manufacturing,1906.0,$5 to $10 billion (USD),Data Scientist,"Battle Creek, MI",93K,130K,"$109,639",/yr (Glassdoor est.)
Fanatics,3.5,Information Technology,Internet & Web Services,1996.0,$1 to $5 billion (USD),Data Scientist II,"New York, NY",128K,252K,"$190,000",/yr (Employer est.)
"InnovaSystems, A Cydecor Company",4.2,,,,,Data Scientist,"Arlington, VA",110K,130K,"$120,000",/yr (Employer est.)
NIMIR Corporation,4.7,,,,,Sr. Data Scientist,"Washington, DC",80.00,80.00,$80.00,/hr (Employer est.)
AdAction Interactive LLC,3.6,Media & Communication,Advertising & Public Relations,2013.0,Unknown / Non-Applicable,Senior Data Analyst,"Chicago, IL",98K,108K,"$103,000",/yr (Employer est.)
Jackson Lewis,3.9,Legal,Legal,1958.0,$100 to $500 million (USD),Data Scientist,"Houston, TX",81K,116K,"$96,735",/yr (Glassdoor est.)
Marsh,4.0,Insurance,Insurance Agencies & Brokerages,1871.0,$10+ billion (USD),Data Scientist,United States,108K,163K,"$135,403",/yr (Employer est.)
BRADY WORLDWIDE INC,3.4,Manufacturing,Machinery Manufacturing,1914.0,$1 to $5 billion (USD),Data Scientist,"Milwaukee, WI",90K,117K,"$102,510",/yr (Glassdoor est.)
"Cydecor, Inc.",4.6,Management & Consulting,Business Consulting,2005.0,$25 to $100 million (USD),Data Scientist,"Arlington, VA",80K,132K,"$102,778",/yr (Glassdoor est.)
Datawiz Corporation,4.0,Information Technology,Information Technology Support Services,1999.0,$1 to $5 million (USD),Data Scientist,Remote,120K,135K,"$127,500",/yr (Employer est.)
Next Insurance,3.8,Insurance,Insurance Carriers,2016.0,Unknown / Non-Applicable,"Data Scientist, Growth","Palo Alto, CA",128K,175K,"$149,823",/yr (Glassdoor est.)
Agile Tech Labs,5.0,,,,Unknown / Non-Applicable,Sr. Data Analyst,Remote,55.00,60.00,$57.50,/hr (Employer est.)
Cambria,3.0,Manufacturing,Machinery Manufacturing,1999.0,$100 to $500 million (USD),Junior Data Developer,"Belle Plaine, MN",72K,103K,"$85,819",/yr (Glassdoor est.)
Vanguard,3.7,Financial Services,Investment & Asset Management,1975.0,Unknown / Non-Applicable,"Data Scientist, Specialist","Malvern, PA",112K,146K,"$127,727",/yr (Glassdoor est.)
"Akina, Inc.",5.0,,,,Unknown / Non-Applicable,Data Scientist - 2,"Annapolis Junction, MD",165K,165K,"$165,000",/yr (Employer est.)
Lowe's,3.5,Retail & Wholesale,Home Furniture & Housewares Stores,1921.0,$10+ billion (USD),Sr Data Scientist - Store Inventory,"Charlotte, NC",92K,175K,"$133,850",/yr (Employer est.)
Meta,3.9,Information Technology,Internet & Web Services,2004.0,$10+ billion (USD),"Data Scientist, GBG","Menlo Park, CA",134K,204K,"$169,000",/yr (Employer est.)
Cotiviti,3.7,Information Technology,Information Technology Support Services,1979.0,$500 million to $1 billion (USD),Data Scientist I,Remote,93K,109K,"$101,000",/yr (Employer est.)
CVS Health,3.1,Healthcare,Health Care Services & Hospitals,1963.0,$10+ billion (USD),Data Scientist - OTCHS,"New York, NY",83K,175K,"$129,008",/yr (Employer est.)
National Grid Renewables,4.2,"Energy, Mining & Utilities",Energy & Utilities,,Unknown / Non-Applicable,Data Scientist,"Bloomington, MN",91K,118K,"$103,767",/yr (Glassdoor est.)
Kina'ole Foundation,5.0,,,,Unknown / Non-Applicable,Data Scientist,"Huntsville, AL",86K,114K,"$98,792",/yr (Glassdoor est.)
Deluxe,3.2,Financial Services,Financial Transaction Processing,1915.0,$1 to $5 billion (USD),Data Scientist,"New York, NY",80K,90K,"$85,000",/yr (Employer est.)
Adobe,4.3,Information Technology,Computer Hardware Development,1982.0,$10+ billion (USD),Applied Scientist,"San Jose, CA",98K,196K,"$146,700",/yr (Employer est.)
WTAnow,4.7,,,,Unknown / Non-Applicable,Data Scientist,"Herndon, VA",106K,140K,"$121,754",/yr (Glassdoor est.)
Capital Group Companies,4.1,Financial Services,Investment & Asset Management,1931.0,$1 to $5 billion (USD),Data Scientist,"Los Angeles, CA",117K,187K,"$152,066",/yr (Employer est.)
Ironclad Technology Services,4.7,Information Technology,Enterprise Software & Network Solutions,2008.0,$25 to $100 million (USD),Data Scientist,"Arlington, VA",89K,121K,"$103,589",/yr (Glassdoor est.)
goop,3.9,Personal Consumer Services,Beauty & Wellness,2008.0,Unknown / Non-Applicable,Data Scientist,"Santa Monica, CA",90K,103K,"$96,250",/yr (Employer est.)
DDI,4.1,,,,$5 to $25 million (USD),Data Scientist - Natural Language Processing,Pennsylvania,111K,161K,"$136,325",/yr (Employer est.)
Porch,3.2,Information Technology,Enterprise Software & Network Solutions,2013.0,$25 to $100 million (USD),Data Scientist,"Seattle, WA",86K,127K,"$106,400",/yr (Employer est.)
National Consulting Partners,3.8,,,,Unknown / Non-Applicable,Data Scientist,Remote,110K,130K,"$120,000",/yr (Employer est.)
Charlotte's Web,2.8,Manufacturing,Consumer Product Manufacturing,2009.0,Unknown / Non-Applicable,eCommerce Data Scientist,"Louisville, CO",110K,118K,"$113,750",/yr (Employer est.)
Honovee,5.0,,,,,Data Scientist,United States,100K,115K,"$107,500",/yr (Employer est.)
Embold Health,3.8,Healthcare,Health Care Services & Hospitals,,Unknown / Non-Applicable,Data Scientist,"Nashville, TN",91K,120K,"$104,183",/yr (Glassdoor est.)
Yamaha Motor,4.1,Manufacturing,Transportation Equipment Manufacturing,1955.0,$10+ billion (USD),"Sr. Mgr, Data Science","Marietta, GA",76K,114K,"$92,926",/yr (Glassdoor est.)
Parsons,4.0,Information Technology,Information Technology Support Services,1944.0,$1 to $5 billion (USD),Data Scientist,Remote,100K,176K,"$138,050",/yr (Employer est.)
Prodege LLC,3.4,Information Technology,Internet & Web Services,2005.0,Unknown / Non-Applicable,Sr. Data Analyst,"Mendota Heights, Dakota, MN",85K,140K,"$112,500",/yr (Employer est.)
Carhartt,4.0,Retail & Wholesale,Consumer Electronics & Appliances Stores,1889.0,Unknown / Non-Applicable,Sr. Data Scientist,"Dearborn, MI",98K,129K,"$112,454",/yr (Glassdoor est.)
Vicinitas Therapeutics,3.9,,,,Unknown / Non-Applicable,Bioinformatics Scientist/ Data Scientist,United States,110K,135K,"$122,500",/yr (Employer est.)
Rivago Infotech Inc.,2.9,,,,Unknown / Non-Applicable,Sr. Data Modeler/Data Analyst,Remote,65.00,70.00,$67.50,/hr (Employer est.)
WILLIAM C BROWN INC (WCBinc),3.9,Information Technology,Information Technology Support Services,,$1 to $5 million (USD),Data Scientist,"Springfield, VA",78K,122K,"$97,269",/yr (Glassdoor est.)
Actfore,4.7,Information Technology,Information Technology Support Services,2022.0,$5 to $25 million (USD),Junior Data Scientist,"Reston, VA",82K,123K,"$100,654",/yr (Glassdoor est.)
Christian Dior Perfumes,3.6,Retail & Wholesale,"Department, Clothing & Shoe Stores",1947.0,$1 to $5 billion (USD),"Data Scientist, Parfums Christian Dior","New York, NY",125K,140K,"$132,500",/yr (Employer est.)
Pinnacle Minds Inc.,3.7,,,,,AI Data Analyst,Remote,115K,115K,"$115,000",/yr (Employer est.)
"AIM Technical Group, LLC",3.3,,,,Unknown / Non-Applicable,Data Scientist,Remote,70.00,80.00,$75.00,/hr (Employer est.)
Honda,4.0,Manufacturing,Transportation Equipment Manufacturing,1948.0,Unknown / Non-Applicable,Data Scientist,"Marysville, OH",54K,80K,"$66,950",/yr (Employer est.)
Cognowiz solutions LLC,3.0,,,,,Data Scientist,"Herndon, VA",70K,90K,"$80,000",/yr (Employer est.)
Epic Games,4.1,Media & Communication,Video Game Publishing,1991.0,Unknown / Non-Applicable,Senior Data Scientist,"Cary, NC",130K,179K,"$152,469",/yr (Glassdoor est.)
InMarket,4.4,Media & Communication,Publishing,2010.0,$100 to $500 million (USD),Data Scientist - Measurement,"North, SC",108K,180K,"$144,179",/yr (Employer est.)
MOMENTUM,5.0,,,,Unknown / Non-Applicable,Data Scientist,"Tysons Corner, VA",110K,210K,"$160,000",/yr (Employer est.)
Cadent,3.4,Media & Communication,Advertising & Public Relations,,Unknown / Non-Applicable,Data Scientist,"Philadelphia, PA",101K,147K,"$121,844",/yr (Glassdoor est.)
Burlington Stores,3.1,Retail & Wholesale,"Department, Clothing & Shoe Stores",1972.0,$5 to $10 billion (USD),Data Scientist I,"Edgewater Park, NJ",95K,125K,"$110,000",/yr (Employer est.)
Zurich Insurance Company Ltd.,4.2,Insurance,Insurance Carriers,1872.0,$10+ billion (USD),Data Scientist,"Schaumburg, IL",83K,110K,"$95,536",/yr (Glassdoor est.)
NiSource,3.4,"Energy, Mining & Utilities",Energy & Utilities,1987.0,$1 to $5 billion (USD),Senior Data Scientist,"Columbus, OH",91K,137K,"$113,800",/yr (Employer est.)
Tekshapers Inc,3.8,Information Technology,Software Development,2009.0,$5 to $25 million (USD),Data Scientist,Remote,80.00,90.00,$85.00,/hr (Employer est.)
Tapcart,3.3,Information Technology,Enterprise Software & Network Solutions,2017.0,$5 to $25 million (USD),Senior Data Analyst,California,120K,150K,"$135,000",/yr (Employer est.)
OpenAI,4.2,Management & Consulting,Research & Development,,Unknown / Non-Applicable,"Data Scientist, GTM","San Francisco, CA",131K,184K,"$155,061",/yr (Glassdoor est.)
Fabletics,4.1,Information Technology,Internet & Web Services,2013.0,Unknown / Non-Applicable,Data Scientist,"El Segundo, CA",126K,140K,"$133,000",/yr (Employer est.)
Govini,3.7,Information Technology,Enterprise Software & Network Solutions,2011.0,Unknown / Non-Applicable,Data Scientist,"Pittsburgh, PA",94K,137K,"$113,658",/yr (Glassdoor est.)
Booz Allen,4.2,Management & Consulting,Business Consulting,1914.0,$5 to $10 billion (USD),Research Data Scientist,"Washington, DC",73K,166K,"$119,550",/yr (Employer est.)
Twinn Intelligence Group,5.0,Information Technology,Enterprise Software & Network Solutions,2017.0,$1 to $5 million (USD),DATA Scientist,"Bethesda, MD",195K,195K,"$195,000",/yr (Employer est.)
Elder Research Inc,4.4,Management & Consulting,Business Consulting,1995.0,$5 to $25 million (USD),Data Scientist,"Arlington, VA",110K,145K,"$126,313",/yr (Glassdoor est.)
Applied Materials,4.1,Manufacturing,Electronics Manufacturing,1967.0,$10+ billion (USD),Data Scientist IV (E4),"Austin, TX",144K,198K,"$171,000",/yr (Employer est.)
Creditserve,4.9,Management & Consulting,Business Consulting,2015.0,Unknown / Non-Applicable,Data Scientist II,Remote,100K,110K,"$105,000",/yr (Employer est.)
"Grammarly, Inc.",4.3,Information Technology,Internet & Web Services,2009.0,Unknown / Non-Applicable,"Data Scientist, B2B Acquisition",United States,226K,281K,"$253,500",/yr (Employer est.)
Spero LLC,4.4,Human Resources & Staffing,Staffing & Subcontracting,2012.0,$5 to $25 million (USD),Project Engineer Data Manager Data Scientist,Remote,60.00,70.00,$65.00,/hr (Employer est.)
ISSAC LLC,4.2,,,,Unknown / Non-Applicable,Data Scientist,"Huntsville, AL",100K,125K,"$112,500",/yr (Employer est.)
FIS Global,3.7,Financial Services,Financial Transaction Processing,1968.0,$5 to $10 billion (USD),Data Scientist II,"Boston, MA",97K,123K,"$109,136",/yr (Glassdoor est.)
ABS Kids,3.5,Healthcare,Health Care Services & Hospitals,2011.0,$1 to $5 million (USD),Senior Data Analyst,Alabama,100K,100K,"$100,000",/yr (Employer est.)
Western Digital,3.6,Information Technology,Computer Hardware Development,1970.0,$10+ billion (USD),"Data Scientist, PhD","Milpitas, CA",139K,172K,"$154,642",/yr (Glassdoor est.)
Chubb,3.7,Insurance,Insurance Carriers,1792.0,$10+ billion (USD),Data Scientist,"Jersey City, NJ",66K,108K,"$86,750",/yr (Employer est.)
Popular Bank,3.7,Financial Services,Banking & Lending,1991.0,$100 to $500 million (USD),Data Scientist,"San Juan, PR",66K,104K,"$82,980",/yr (Glassdoor est.)
Interclypse Inc,4.7,Information Technology,Software Development,2007.0,$5 to $25 million (USD),Data Scientist - All Levels,"Reston, VA",77K,115K,"$94,075",/yr (Glassdoor est.)
Trusaic,4.1,Information Technology,Enterprise Software & Network Solutions,2014.0,Unknown / Non-Applicable,Data Scientist I,"Los Angeles, CA",70K,85K,"$77,500",/yr (Employer est.)
Stanford University,4.3,Education,Colleges & Universities,1891.0,$10+ billion (USD),"Data Scientist, Stanford Law School","Stanford, CA",74K,97K,"$85,500",/yr (Employer est.)
Data Inc,3.9,Information Technology,Information Technology Support Services,1983.0,$25 to $100 million (USD),Senior Data Analyst,"New York, NY",60.00,70.00,$65.00,/hr (Employer est.)
Advanced Sciences and Technologies (AS&T),3.9,Information Technology,Computer Hardware Development,,$25 to $100 million (USD),Data Scientist Analyst,"Warrenton, VA",76K,115K,"$93,559",/yr (Glassdoor est.)
